"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000017843",2120.71958162283,2064.07677152551,2166.36281857148,2593.33037877597,2598.50443567373,2050.91836102512,2937.22841873321,2465.49720788133,3121.0398726707,"Ppp2r5c"
"ENSMUSG00000017858",575.217531826162,585.241279731317,625.933288686069,653.612628684215,680.63773304696,748.019651965978,854.692600974393,824.87735410035,844.323418185653,"Ift52"
"ENSMUSG00000017861",3334.36536305825,3592.35661106965,2939.57452812486,2772.29574139189,2686.95498101423,3995.12921107079,2317.976087258,3482.20650479572,3403.57611377563,"Mybl2"
"ENSMUSG00000017868",0,0.898988140908322,1.71253977752686,1.11158610320445,1.07866518707918,0,0,0.913485441971594,0,"Sgk2"
"ENSMUSG00000017897",12.642143556619,9.88886954999154,14.5565881089783,32.235996992929,40.9892771090087,1.06707510979455,8.88453847166729,26.4910778171762,6.57061025825411,"Eya2"
"ENSMUSG00000017922",0,0,0,0,0,0,0,0,0,"Prl3c1"
"ENSMUSG00000017929",726.92325450559,847.745816876547,854.557348985905,1207.18250808003,1168.19439760675,742.684276417005,746.301231620052,1109.88481199549,1124.66945587116,"B4galt5"
"ENSMUSG00000017943",0,0,0,0,0,0,0,0.913485441971594,0,"Gdap1l1"
"ENSMUSG00000017950",0,0,0,0,0,0,3.55381538866692,0.913485441971594,1.09510170970902,"Hnf4a"
"ENSMUSG00000017969",2.10702392610316,0,0,2.22317220640889,0,1.06707510979455,0,0,0,"Ptgis"
"ENSMUSG00000017978",50.5685742264758,34.1615493545162,83.0581792100529,61.1372356762446,14.0226474320293,21.3415021958909,57.7495000658374,29.231534143091,44.8991700980697,"Cadps2"
"ENSMUSG00000017999",2012.20784942852,2261.85416252534,2068.74805125245,1837.45182859695,1816.47217504133,2371.04089396348,1961.70609454414,2412.51505224698,2332.56664168021,"Ddx27"
"ENSMUSG00000018001",99.0301245268485,77.3129801181157,71.9266706561283,130.05557407492,138.069143946134,52.2866803799328,70.1878539261716,168.081321322773,108.415069261193,"Cyth3"
"ENSMUSG00000018008",994.515293120691,975.402132885529,1096.02545761719,1676.27184363231,1676.24570072104,821.647834541801,1681.84313268662,1169.26136572364,1028.30050541677,"Cyth4"
"ENSMUSG00000018012",23.1772631871347,21.5757153817997,20.5504773303224,24.4548942704978,31.2812904252961,50.1525301603437,30.2074308036688,19.1831942814035,27.3775427427254,"Rac3"
"ENSMUSG00000018040",1180.98691058082,1281.95708893527,1152.53927027558,970.414668097482,1059.24921371175,1374.39274141538,1254.49683219942,1441.48002743118,1407.20569697609,"Rrp7a"
"ENSMUSG00000018042",264.431502725946,303.857991627013,288.562952513277,389.055136121556,336.543538368703,292.378580083706,527.741585217037,538.042925321269,643.919805308903,"Cyb5r3"
"ENSMUSG00000018068",900.7527284091,881.907366231064,809.175044881443,629.157734413717,668.772415989089,785.367280808787,625.471508405377,715.259101063758,637.349195050649,"Ints2"
"ENSMUSG00000018076",1679.29806910422,1494.11829018963,1766.48478051896,1846.34451742259,1634.17775842495,1442.68554844223,1800.89594820696,1755.7190194694,904.554012219649,"Med13l"
"ENSMUSG00000018102",412.976689516219,226.545011508897,445.260342156985,560.239396015041,422.836753335037,280.640753875966,501.976423649202,283.180487011194,569.452889048689,"H2bc4"
"ENSMUSG00000018126",5.2675598152579,3.59595256363329,0,2.22317220640889,1.07866518707918,1.06707510979455,3.55381538866692,2.74045632591478,1.09510170970902,"Baiap2l2"
"ENSMUSG00000018143",743.779445914415,689.523904076683,851.988539319615,993.757976264775,978.349324680812,705.336647574196,632.579139182711,728.961382693332,792.853637829329,"Mafk"
"ENSMUSG00000018160",1286.33810688598,1349.38119950339,1442.81476256638,1150.4916168166,1126.12645531066,1094.81906264921,798.720008602889,1111.71178287943,891.412791703141,"Med1"
"ENSMUSG00000018166",95.8695886376937,118.666434599898,55.6575427696231,73.3646828114935,92.7652060888091,210.213796629526,63.0802231488377,126.06099099208,75.5620179699222,"Erbb3"
"ENSMUSG00000018167",882.843025037223,790.210575858415,750.94869244553,874.8182632219,865.089480037499,796.038031906732,895.561477944063,591.025080955621,870.605859218669,"Stard3"
"ENSMUSG00000018168",500.4181824495,570.857469476784,876.820366093754,802.565166513611,1203.79034878036,258.23217657028,87.0684770223394,463.137119079598,427.089666786517,"Ikzf3"
"ENSMUSG00000018169",650.016881202824,711.099619458482,673.884402456821,703.634003328415,715.155019033493,872.86743981194,777.397116270888,790.164907305429,908.934419058485,"Mfng"
"ENSMUSG00000018171",701.638967392352,679.635034526691,710.704007673648,823.685302474495,790.661582129036,603.964512143714,1056.37162428124,797.472790841202,1103.86252338669,"Vmp1"
"ENSMUSG00000018189",1626.62247095164,1653.2391911304,1512.17262355622,1405.04483445042,1391.47809133214,1773.47883247854,1676.51240960362,1753.89204858546,1856.19739795679,"Uchl5"
"ENSMUSG00000018196",447.742584296921,469.271809554144,426.422404604189,392.38989443117,366.74616360692,503.659451823026,532.183854452871,503.330478526348,525.648820660329,"Glrx2"
"ENSMUSG00000018199",38.9799426329084,38.6564900590578,48.8073836595156,34.4591691993378,57.1692549151963,49.0854550505492,56.8610462186706,71.2518644737844,61.325695743705,"Ro60"
"ENSMUSG00000018209",3873.76348814066,3952.85085557389,4251.37999771044,4299.6150471948,4062.25309454017,3555.49426583543,3862.10887363377,3794.61852595,3919.36901904858,"Stk4"
"ENSMUSG00000018211",0,0,0,0,0,0,0,0,0,"Wfdc15b"
"ENSMUSG00000018217",0,1.79797628181664,0,2.22317220640889,9.70798668371258,2.13415021958909,0,30.1450195850626,49.2795769369058,"Pmp22"
"ENSMUSG00000018238",3.16053588915474,2.69696442272497,3.42507955505373,5.55793051602223,3.23599556123753,3.20122532938364,2.66536154150019,0,2.19020341941804,"Gdf9"
"ENSMUSG00000018239",273.913110393411,249.918703172513,288.562952513277,231.209909466525,216.811702602914,261.433401899664,160.810146337178,251.208496542188,326.340309493287,"Zcchc10"
"ENSMUSG00000018259",0,0,0,0,0,0,0,0,0,"Prl8a2"
"ENSMUSG00000018263",0,0,0,0,0,0,0,0,0,"Tbx5"
"ENSMUSG00000018286",1516.00371483122,1512.0980530078,1470.21539900681,1649.5937771554,1438.93935956362,1609.14926557018,1580.55939410961,1745.67067960772,2169.39648693356,"Psmb6"
"ENSMUSG00000018287",628.946641941793,609.513959535842,607.095351133273,610.260770659241,582.479201022755,629.574314778783,542.845300618871,523.427158249723,561.787177080726,"Spag7"
"ENSMUSG00000018293",19855.5399676331,19710.314989415,20076.9600818362,22824.1974570969,23914.0071975453,17272.7448022443,25257.8544211029,19030.6422125942,18842.3200172534,"Pfn1"
"ENSMUSG00000018322",1506.52210716376,1494.11829018963,1354.61896402375,1400.5984900376,1284.6902378113,1439.48432311284,1473.05647860244,1171.08833660758,1111.52823535465,"Tomm34"
